Tomar la autopista|Tomar un atajo
Evitar el tráfico|Seguir en la autopista
Detenerse un momento|Continuar sin detenerse
Seguir por la ruta alternativa|Regresar a la autopista
Continuar|Continuar
Llevar a Mater|Seguir solo
Enfrentar el obstáculo|Regresar a la autopista
Descansar un poco|Seguir adelante
Continuar|Continuar
Acelerar|Continuar tranquilo
Continuar|Continuar
Volver a intentar|Volver a intentar
Continuar|Continuar
Parar en boxes|Seguir sin detenerte
Volver a intentar|Volver a intentar
Volver a jugar|Volver a jugar
Volver a jugar|Volver a jugar
Volver a jugar|Volver a jugar
